1|34,41-43,203-279|1,14,27-30,32,34-37,41-43,47-48,64,200,203-279
3|200|27-28,46,200,222-231,268,2096
4|36|36,37,46,282-289
5|42,206|1,41,42,43,48,206,251,385,393,1064,2086,2096
6|221|1,30,42,212-221,268-276,1429,2086
7|214,310|1,9,11,214,310,339
8||34,101,108,212-213,220,240,243,262,276
9|208,300-303|207,208,209,217,291,300-303,310-312,599
10|207|207,301,2671
11|269-278|269-278
12|339|310,339,2500
13|208|208,826,2809-2810
14|270|211,270,1261,1429,1489
15||271,1991-1994,2009,2091
16|64-68,422,638|55-56,62,64-68,72-75,122,128,211-212,215,422,426,497,638,652,822
17|425,901,1697|30,346-347,425,736,901,1070,1089,1121,1697
18|901,1388|901,1388,2041-2042,2192,2558-2865
19|301,305,2086|274,301,304,305,313,2086,2836-2837
20|2514-2516|324,2113,2123-2125,2127-2128,2514-2516
21||28-30
22|431-432,758-769|431-432,586,758-769,1040,1066,1080,1095,1217,2591,2606,2738
23|51-141|35,51-141,161,169,183,289
24|54-64,77-78|54-64,77-78,121-123,128,200,204,238-239,286-288
25||232-237,253-256
26|244-245|244-245,267
27||244
28|444|444-445
29|238-242|238-242,2780
30|238-244|238-244,687,727-730
31||243,423,443
32|238-248|238-248,279
33|422-483|422-483
34|683-701|243-248,683-701,737-741
35|2655,2789|257-260,265-266,1239,2655,2662-2789
36||279-301,338,2415
37|31-35|31-35,54,337,341
38|289,332|27,198,280,287-289,332,342
39||328-335
40||392-395
41|326|326,331,1024
42||355-365
43|363-364|355,357,362,363-364
44||363-368
45|54,374-379|54,256-361,369-370,374-379,380-384
46||397-409
47|356|55,356-360
48|64|56-61,64,70-72,761-762
49|638|638-658
50||302-324
51|62-65,518|62-65,218,518
52|218|62-64,218,518
53||396-401
54|402|402-409
55|1284|1226-1228,1262-1284
56|492|490,492,493
57|1849|404,1849-1876
58|1849-1856|311,1440,1849-1856
59|1855-1861|1855-1861
60|1856|1446,1856,1861
61|1863|1855,1863,1875
62|1857|1857-1861
63|1749-1760|1749-1760
64|2032-2037|1951,1961-1962,1965,2032-2037,2057
65|218,1449|210,218,270,393,1428,1448-1449
66|827,1424,1446|504,545,588-589,827,1424,1444,1446
67|1416,1452|1416,1447,1452,1875
68||1876,2539-2540
69||1866,2094
70|2846-2849|2846-2849
71|409,1707,2514-2516|409,1520,1707,2514-2516,2846-2849
72|456-483|456-483
73|461-464|461-464
74|456-460|456-460
75|461-469|461-469
76|465|184-185,465
77||590
78||610
79||464-469
80|590|461-590,635,1130
81||291
82|464-470,476,478|464-470,476,478
83|478,595-617|478,595-617
84|456-460|456-460
85||421,601,605-617,714
86||452
87|517,613,616|517,613,616-617
88||539,555,607
89||312,572,766
90|571-597|571-597
91|456-460|456-460
92||572
93||572
94||478,599,766
95||2605
96|616-618,623|607,609-610,616-618,623,2605
97|613-615|601,613-615,1020-1029,1987-1996
98|648-649,651|428,444,631-637,648-649,651
99|638,651-658|638,651-658
100||651-655
101||640
102||641-645
103||640-645
104||649
105||651-655
106|989,1003|638,651,653-655,989,994,1003-1004
107||989,1262-1270,1988-2005
108|659-667|659-667
109|2749|660,2749
110|668|662,668-670,2743
111|737-741|737-741
112|1067|1067,1372,1442
113|571|457,461,571
116||692,728,2615
117||732
118|257,259|257,259,485,494,1824,2055
119|767-768,813,845|748,750,767-768,813,819,822,845
120|1997,1999|686,688,692,1996-1997,1999
121|809| 692,809,813
122|733-741|687,696,733-741,797-801
123||684,739
124|1265-1266,2003|1265-1266,1997-1999,2002-2003
125|1996-2000,2023|1996-2000,2023
126|1999-2000|1997,1999-2000,2020
127|1996-2005|1996-2005
128||2024
129|733-736,797-801|683-685,733-736,797-801,1266
130|1996-1999|1996-1999
131|1812-1829|1812-1829
132|1814-1815|1814-1815
133|1817-1821|1817-1821
134|1822-1829|1822-1829
135||1805-1809
136||1805
137|1831|1831-1832
138|758-786|758-786
139|763-768|763-768,787-791
140|861-862,873-896,1210-1211|14,185-186,861-862,873-896,949-951,1210-1211
141|74-82|74-82,101-105
142||1278,1284,1316-1320,1407-1412,1446,1480,1531-1532
143|880-896|880-896
144|1216,1428,1449,1458,1585-1587,1641|4,874,876-878,1216,1226,1241,1288,1336,1428,1449,1458,1520,1521,1576,1585-1587,1641,1652,1664
145|766,792,795-796|763,765-766,768,786,792,795-796,926,973
146|771|749,763-766,771
